Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [626, 2620, 2360], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [626, 2620, 2360], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [626, 2620, 2360], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [626, 3380, 1814], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [626, 3380, 1814], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [626, 2620, 2360], results_len: 20
Search: cos, target_dims: [626, 2620, 2360], results_len: 20
Search: co, target_dims: [626, 2620, 2360], results_len: 20
Search: car, target_dims: [509, 511, 515], results_len: 20
Search: man, target_dims: [2231, 2237, 2239], results_len: 20
Search: man, target_dims: [2231, 4137, 1102], results_len: 7
Search: man, target_dims: [2231, 2237, 2239], results_len: 20
Search: man, target_dims: [2231, 4137, 1102], results_len: 7
Search: simi, target_dims: [3421, 3422, 3420], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: cos, target_dims: [788, 789, 787], results_len: 20
Search: hel, target_dims: [1647, 1649, 1648], results_len: 20
Search: hel, target_dims: [1647, 1649, 1648], results_len: 20
Search: co, target_dims: [626, 2620, 2360], results_len: 20
Search: cosin, target_dims: [787, 1046, 4136], results_len: 3
Search: cosin, target_dims: [787, 1046, 4136], results_len: 3
Search: cosine, target_dims: [787, 1046, 4136], results_len: 3
Search: cosine, target_dims: [787, 1046, 4136], results_len: 3
Search: cosine, target_dims: [787, 1046, 4136], results_len: 3
Search: cosine, target_dims: [787, 1046, 4136], results_len: 3
Search: cosin, target_dims: [787, 1046, 4136], results_len: 3
Search: man, target_dims: [2231, 4137, 1102], results_len: 7
Search: english, target_dims: [1189, 2073, 3867], results_len: 1
Search: english, target_dims: [1189, 2073, 3867], results_len: 1
Search: english, target_dims: [1189, 2073, 3867], results_len: 1
Search: english, target_dims: [1189, 2073, 3867], results_len: 1
Search: english, target_dims: [1189, 2073, 3867], results_len: 1
Search: englis, target_dims: [1189, 2073, 3867], results_len: 1
Search: englis, target_dims: [1189, 2073, 3867], results_len: 1
Search: engli, target_dims: [1189, 2073, 3867], results_len: 1
Search: englis, target_dims: [1189, 2073, 3867], results_len: 1
Search: english, target_dims: [1189, 2073, 3867], results_len: 1
Search: englis, target_dims: [1189, 2073, 3867], results_len: 1
Search: co, target_dims: [626, 2620, 2360], results_len: 20
